CGD,ORF_ID,KEGG,Gene_Name,UNIPROT,Descripción1,Descripción2
C3_06470W_A,orf19.7436,CAALFM_C306470WA,AAF1,-,Adherence factor (Adhesion and aggregation mediating surface antigen),
C2_06970W_A,orf19.2251,CAALFM_C206970WA,AAH1,-,Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH),
C3_03990C_A,orf19.2810,CAALFM_C303990CA,AAP1,A0A1D8PJU0,,Aap1p
C2_05250C_A,orf19.3554,CAALFM_C205250CA,AAT1,A0A1D8PHC9, Aspartate aminotransferase,Aspartate transaminase
CR_07620W_A,orf19.6287,CAALFM_CR07620WA,AAT21,-, Putative aspartate aminotransferase,Aspartate aminotransferase (EC 2.6.1.1)
C4_01200C_A,orf19.4669,CAALFM_C401200CA,AAT22,A0A1D8PL85, Aspartate aminotransferase,Aspartate aminotransferase (EC 2.6.1.1)
C1_01450W_A,orf19.3331,CAALFM_C101450WA,ABC1,A0A1D8PCI9, Putative ubiquinol-cytochrome-c reductase,Protein kinase
C3_07710W_A,orf19.6716,CAALFM_C307710WA,ABD1,-,mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase),
C2_09390W_A,orf19.1597,CAALFM_C209390WA,ABG1,A0A1D8PIH3, Vacuolar membrane protein,Abg1p
C4_02940W_A,orf19.2699,CAALFM_C402940WA,ABP1,Q5AFA8, Ortholog of S. cerevisiae Abp1,Abp1p
C1_02190W_A,orf19.3676,CAALFM_C102190WA,ABP140,Q59VY2, Ortholog of S. cerevisiae actin-binding protein Abp140,Methyltransferase-like protein (EC 2.1.1.-)
C2_04970W_A,orf19.3529,CAALFM_C204970WA,ABP2,A0A1D8PHA7,,Abp2p
C4_05290W_A,orf19.1291,CAALFM_C405290WA,ABZ1,A0A1D8PMB0, Protein of unknown function,4-amino-4-deoxychorismate synthase
C7_00750W_A,orf19.7043.1,CAALFM_C700750WA,ACB1,A0A1D8PQN3, Protein similar to a region of acyl-coenzyme-A-binding protein,Long-chain fatty acid transporter
CR_00640W_A,orf19.7466,CAALFM_CR00640WA,ACC1,-, Putative acetyl-coenzyme-A carboxylases,Acetyl-CoA carboxylase
CR_07440W_A,orf19.6124,CAALFM_CR07440WA,ACE2,-,Cell wall transcription factor ACE2,
C6_01690W_A,orf19.3417,CAALFM_C601690WA,ACF2,A0A1D8PPP4,,Acf2p
C5_02000C_A,orf19.3171,CAALFM_C502000CA,ACH1,-, Acetyl-coA hydrolase,Acetyl-CoA hydrolase (EC 3.1.2.1) (Acetyl-CoA deacylase) (Acetyl-CoA acylase)
CR_08210C_A,orf19.6385,CAALFM_CR08210CA,ACO1,-, Aconitase,Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)
CR_05790C_A,orf19.6632,CAALFM_CR05790CA,ACO2,-, Putative aconitate hydratase 2,Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.-)
C1_06060C_A,orf19.2439,CAALFM_C106060CA,ACP1,A0A1D8PDT0, Fatty acid biosynthetic protein,Acyl carrier protein
C2_04030C_A,orf19.819,CAALFM_C204030CA,ACP12,Q5AHH7, Protein of unknown function,Acyl carrier protein
C2_10350C_A,orf19.1743,CAALFM_C210350CA,ACS1,Q59XW4, Acetyl-CoA synthetase,Acetyl-coenzyme A synthetase (EC 6.2.1.1)
C1_04290C_A,orf19.1064,CAALFM_C104290CA,ACS2,-, Acetyl-CoA synthetase,Acetyl-coenzyme A synthetase 2 (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acyl-activating enzyme 2)
C1_13700W_A,orf19.5007,CAALFM_C113700WA,ACT1,A0A1D8PFR4, Actin,Actin
C1_10860C_A,orf19.2331,CAALFM_C110860CA,ADA2,-, Zinc finger and homeodomain transcriptional coactivator,Transcriptional adapter 2
C2_03520C_A,orf19.868,CAALFM_C203520CA,ADAEC,A0A1D8PGW0,,Adaecp
C2_06450C_A,addedtoAssembly21basedoncomparativegenomeanalysis,CAALFM_C206450CA,addedtoAssembly21basedoncomparativegenomeanalysis,-,,#N/D
CR_00510C_A,orf19.7484,CAALFM_CR00510CA,ADE1,-, Phosphoribosylaminoimadazole succinocarboxamide synthetase, enzyme of adenine biosynthesis,Phosphoribosylaminoimidazolesuccinocarboxamide synthase
C1_09640W_A,orf19.4827,CAALFM_C109640WA,ADE12,-, Adenylosuccinate synthase,Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
CR_06150C_A,orf19.3870,CAALFM_CR06150CA,ADE13,-, Adenylosuccinate lyase,Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)
CR_04090C_A,orf19.492,CAALFM_CR04090CA,ADE17,-, 5-Aminoimidazole-4-carboxamide ribotide transformylase, enzyme of adenine biosynthesis,Bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
C3_04520C_A,orf19.5906,CAALFM_C304520CA,ADE2,-, Phosphoribosylaminoimadazole carboxylase,Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)
C1_07710C_A,orf19.1233,CAALFM_C107710CA,ADE4,A0A1D8PE37, Putative phosphoribosylpyrophosphate amidotransferase,Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase)
